Question	OptionA	OptionB	OptionC	OptionD	Correct	Explanation
Which of the following increases surface area necessary for absorption?	Exocytosis	Microvilli	Fibroblasts	Autophagy	B. Microvilli	<b>Question</b><br>Which of the following increases surface area necessary for absorption?<br><br><b>Correct answer:</b> B — Microvilli<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
Which of the following about the plasma membrane is not true?	It maintains the negative charge of the cell surface	Cholesterol	Nucleic acids	Peripheral proteins	A. It maintains the negative charge of the cell surface	<b>Question</b><br>Which of the following about the plasma membrane is not true?<br><br><b>Correct answer:</b> A — It maintains the negative charge of the cell surface<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
Free poly-ribosomes synthesize proteins for?	Free polyribosomes	Protein synthesis	Lipid synthesis	Cytosol	D. Cytosol	<b>Question</b><br>Free poly-ribosomes synthesize proteins for?<br><br><b>Correct answer:</b> D — Cytosol<br><br><b>Core idea (exam focus)</b><br>Cell organelles have characteristic structure and function used in exam identification.<br><br><b>Mechanism / reasoning</b><br><ul><li>Identify the organelle by its defining function (synthesis, packaging, degradation, detoxification).</li><li>Use pathway logic (e.g., secretory pathway vs autonomous organelles).</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>RER→Golgi→vesicles=secretory pathway, peroxisomes=detox (H2O2), lysosomes=acid hydrolases (pH ~5).
Which of the following ions is not present in the cytosol?	3Hg+	4Hg+	Hg2+	1Hg+	C. Hg2+	<b>Question</b><br>Which of the following ions is not present in the cytosol?<br><br><b>Correct answer:</b> C — Hg2+<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
Divisions of tissue stem cells result from direct activity of?	Lipids	Necrosis	DNA molecules	Phagocytes	C. DNA molecules	<b>Question</b><br>Divisions of tissue stem cells result from direct activity of?<br><br><b>Correct answer:</b> C — DNA molecules<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
The role of Calcium is muscle contraction is?	To bind to troponin and expose actin filaments to myosin heads	Microtubules	Intermediate filaments (keratin)	Dynein	A. To bind to troponin and expose actin filaments to myosin heads	<b>Question</b><br>The role of Calcium is muscle contraction is?<br><br><b>Correct answer:</b> A — To bind to troponin and expose actin filaments to myosin heads<br><br><b>Core idea (exam focus)</b><br>Cytoskeletal elements have distinct proteins, structures, and functions.<br><br><b>Mechanism / reasoning</b><br><ul><li>Match the structure/function in the stem to the correct cytoskeletal component.</li><li>Exclude options that belong to a different filament system (actin vs tubulin vs intermediate filaments).</li></ul><br><b>Why the other options are not</b><br><ul><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Microtubules=tubulin (13 protofilaments), microfilaments=actin, intermediate filaments=keratin/lamins.
How many centrioles are there in non dividing cells?	1	2	3	4	B. 2	<b>Question</b><br>How many centrioles are there in non dividing cells?<br><br><b>Correct answer:</b> B — 2<br><br><b>Core idea (exam focus)</b><br>Cytoskeletal elements have distinct proteins, structures, and functions.<br><br><b>Mechanism / reasoning</b><br><ul><li>Match the structure/function in the stem to the correct cytoskeletal component.</li><li>Exclude options that belong to a different filament system (actin vs tubulin vs intermediate filaments).</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Microtubules=tubulin (13 protofilaments), microfilaments=actin, intermediate filaments=keratin/lamins.
The kinetic core binds to which segment of the chromosome?	Centromere	Apoptosis	Fibroblasts	Mitosis	A. Centromere	<b>Question</b><br>The kinetic core binds to which segment of the chromosome?<br><br><b>Correct answer:</b> A — Centromere<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
Glycogen granules?	Necrosis	Are responsible for Glucose storage	Carbohydrates	Phagocytes	B. Are responsible for Glucose storage	<b>Question</b><br>Glycogen granules?<br><br><b>Correct answer:</b> B — Are responsible for Glucose storage<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
Which of the following methods uses a beam of electrons?	Toluidine blue	PAS reaction	Transmission Electron Microscope	Silver impregnation	C. Transmission Electron Microscope	<b>Question</b><br>Which of the following methods uses a beam of electrons?<br><br><b>Correct answer:</b> C — Transmission Electron Microscope<br><br><b>Core idea (exam focus)</b><br>Histological techniques and stains highlight specific cellular components.<br><br><b>Mechanism / reasoning</b><br><ul><li>Link the stain/technique to the chemical group it detects (carbohydrates, nucleic acids, proteins, lipids).</li><li>Use color outcome or method principle to rule out distractors.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>PAS highlights carbohydrates (glycogen, glycoproteins), H&amp;E: basophilic=blue/purple, eosinophilic=pink.
Which cells have plenty of lysosomes?	Phagocytes	Acid phosphatase	Peroxisomal enzymes	Alkaline pH 8.0	A. Phagocytes	<b>Question</b><br>Which cells have plenty of lysosomes?<br><br><b>Correct answer:</b> A — Phagocytes<br><br><b>Core idea (exam focus)</b><br>Cell organelles have characteristic structure and function used in exam identification.<br><br><b>Mechanism / reasoning</b><br><ul><li>Identify the organelle by its defining function (synthesis, packaging, degradation, detoxification).</li><li>Use pathway logic (e.g., secretory pathway vs autonomous organelles).</li></ul><br><b>Why the other options are not</b><br><ul><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>RER→Golgi→vesicles=secretory pathway, peroxisomes=detox (H2O2), lysosomes=acid hydrolases (pH ~5).
Molecules involved in the transmembrane transport of small molecules (small than 1000) are all true except?	Endocytosis	Neutrophils	Proteins	Hormone receptors	D. Hormone receptors	<b>Question</b><br>Molecules involved in the transmembrane transport of small molecules (small than 1000) are all true except?<br><br><b>Correct answer:</b> D — Hormone receptors<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
Which is the range of size of human cells?	4-201	5-200mm	7-202	3-198	B. 5-200mm	<b>Question</b><br>Which is the range of size of human cells?<br><br><b>Correct answer:</b> B — 5-200mm<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
What is the normal pathway of migration of proteins through the Golgi Ap- paratus?	Cis golgi --> Oyctiosomes --> Trans golgi --> Trans golgi: Network	Lipid synthesis	Cis→trans trafficking	Protein glycosylation	A. Cis golgi --> Oyctiosomes --> Trans golgi --> Trans golgi: Network	<b>Question</b><br>What is the normal pathway of migration of proteins through the Golgi Ap- paratus?<br><br><b>Correct answer:</b> A — Cis golgi --&gt; Oyctiosomes --&gt; Trans golgi --&gt; Trans golgi: Network<br><br><b>Core idea (exam focus)</b><br>Cell organelles have characteristic structure and function used in exam identification.<br><br><b>Mechanism / reasoning</b><br><ul><li>Identify the organelle by its defining function (synthesis, packaging, degradation, detoxification).</li><li>Use pathway logic (e.g., secretory pathway vs autonomous organelles).</li></ul><br><b>Why the other options are not</b><br><ul><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>RER→Golgi→vesicles=secretory pathway, peroxisomes=detox (H2O2), lysosomes=acid hydrolases (pH ~5).
Which of the following is not a function of EPR?	Intermediate filaments (keratin)	Dynein	Microtubule organiser	Microtubules	C. Microtubule organiser	<b>Question</b><br>Which of the following is not a function of EPR?<br><br><b>Correct answer:</b> C — Microtubule organiser<br><br><b>Core idea (exam focus)</b><br>Cytoskeletal elements have distinct proteins, structures, and functions.<br><br><b>Mechanism / reasoning</b><br><ul><li>Match the structure/function in the stem to the correct cytoskeletal component.</li><li>Exclude options that belong to a different filament system (actin vs tubulin vs intermediate filaments).</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Microtubules=tubulin (13 protofilaments), microfilaments=actin, intermediate filaments=keratin/lamins.
Major mitochondrial functions are all true except?	ATP synthase	Proton gradient	Cristae	Phagocytosis	D. Phagocytosis	<b>Question</b><br>Major mitochondrial functions are all true except?<br><br><b>Correct answer:</b> D — Phagocytosis<br><br><b>Core idea (exam focus)</b><br>Cell organelles have characteristic structure and function used in exam identification.<br><br><b>Mechanism / reasoning</b><br><ul><li>Identify the organelle by its defining function (synthesis, packaging, degradation, detoxification).</li><li>Use pathway logic (e.g., secretory pathway vs autonomous organelles).</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>RER→Golgi→vesicles=secretory pathway, peroxisomes=detox (H2O2), lysosomes=acid hydrolases (pH ~5).
Which of the following molecules are present in the cytosol?	3HO	4HO	1HO	H2O	D. H2O	<b>Question</b><br>Which of the following molecules are present in the cytosol?<br><br><b>Correct answer:</b> D — H2O<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
Which of the following molecules are not carbohydrates?	Smooth muscle cells	Exocytosis	Fibroblasts	Polypeptides	D. Polypeptides	<b>Question</b><br>Which of the following molecules are not carbohydrates?<br><br><b>Correct answer:</b> D — Polypeptides<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
What are the main components of the nucleus?	All answers are correct	Mitosis	Exocytosis	Adipocytes	A. All answers are correct	<b>Question</b><br>What are the main components of the nucleus?<br><br><b>Correct answer:</b> A — All answers are correct<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
Cell movement requires?	Microtubules	Lamins	Intermediate filaments (keratin)	Kinesin	A. Microtubules	<b>Question</b><br>Cell movement requires?<br><br><b>Correct answer:</b> A — Microtubules<br><br><b>Core idea (exam focus)</b><br>Cytoskeletal elements have distinct proteins, structures, and functions.<br><br><b>Mechanism / reasoning</b><br><ul><li>Match the structure/function in the stem to the correct cytoskeletal component.</li><li>Exclude options that belong to a different filament system (actin vs tubulin vs intermediate filaments).</li></ul><br><b>Why the other options are not</b><br><ul><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Microtubules=tubulin (13 protofilaments), microfilaments=actin, intermediate filaments=keratin/lamins.
Cell differentiation includes the following features. All are true except?	Autophagy	Necrosis	Apoptosis	Mitosis	C. Apoptosis	<b>Question</b><br>Cell differentiation includes the following features. All are true except?<br><br><b>Correct answer:</b> C — Apoptosis<br><br><b>Core idea (exam focus)</b><br>Key cellular processes have defining features and molecular mediators.<br><br><b>Mechanism / reasoning</b><br><ul><li>Identify hallmark molecular mediators (e.g., caspases in apoptosis).</li><li>Differentiate growth, death, and division processes by defining criteria.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Apoptosis=caspases + cell shrinkage, necrosis=swelling + inflammation.
Which of the following statements related to the RER is true?	ATP	Apoptosis	Lymphocytes	It takes part in the metabolism of glycogen	D. It takes part in the metabolism of glycogen	<b>Question</b><br>Which of the following statements related to the RER is true?<br><br><b>Correct answer:</b> D — It takes part in the metabolism of glycogen<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
The diameter of actin filament is of?	8-10	6-8nm	4-6	5-9	B. 6-8nm	<b>Question</b><br>The diameter of actin filament is of?<br><br><b>Correct answer:</b> B — 6-8nm<br><br><b>Core idea (exam focus)</b><br>Cytoskeletal elements have distinct proteins, structures, and functions.<br><br><b>Mechanism / reasoning</b><br><ul><li>Match the structure/function in the stem to the correct cytoskeletal component.</li><li>Exclude options that belong to a different filament system (actin vs tubulin vs intermediate filaments).</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Microtubules=tubulin (13 protofilaments), microfilaments=actin, intermediate filaments=keratin/lamins.
Which of the following statements relating to H&E staining is true?	Hematoxylin	Ba- sophilic structures under H&E stain are not red	PAS reaction	Silver impregnation	B. Ba- sophilic structures under H&E stain are not red	<b>Question</b><br>Which of the following statements relating to H&amp;E staining is true?<br><br><b>Correct answer:</b> B — Ba- sophilic structures under H&amp;E stain are not red<br><br><b>Core idea (exam focus)</b><br>Histological techniques and stains highlight specific cellular components.<br><br><b>Mechanism / reasoning</b><br><ul><li>Link the stain/technique to the chemical group it detects (carbohydrates, nucleic acids, proteins, lipids).</li><li>Use color outcome or method principle to rule out distractors.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>PAS highlights carbohydrates (glycogen, glycoproteins), H&amp;E: basophilic=blue/purple, eosinophilic=pink.
Where are intermediate filaments present?	Actin	In the nucleus and cytosol	Keratin	Vimentin	B. In the nucleus and cytosol	<b>Question</b><br>Where are intermediate filaments present?<br><br><b>Correct answer:</b> B — In the nucleus and cytosol<br><br><b>Core idea (exam focus)</b><br>Cytoskeletal elements have distinct proteins, structures, and functions.<br><br><b>Mechanism / reasoning</b><br><ul><li>Match the structure/function in the stem to the correct cytoskeletal component.</li><li>Exclude options that belong to a different filament system (actin vs tubulin vs intermediate filaments).</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Microtubules=tubulin (13 protofilaments), microfilaments=actin, intermediate filaments=keratin/lamins.
The brushborder of erythrocytes represents which structure?	Fibroblasts	ATP	Microvilli	Exocytosis	C. Microvilli	<b>Question</b><br>The brushborder of erythrocytes represents which structure?<br><br><b>Correct answer:</b> C — Microvilli<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
The glycocalyx is composed of all, except?	Proteoglycans	Glycolipids	Glycoproteins	Cholesterol	B. Glycolipids	<b>Question</b><br>The glycocalyx is composed of all, except?<br><br><b>Correct answer:</b> B — Glycolipids<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
Microtubules are found in the?	9+2 axoneme	Tubulin α/β	Microvilli	Keratin proteins	C. Microvilli	<b>Question</b><br>Microtubules are found in the?<br><br><b>Correct answer:</b> C — Microvilli<br><br><b>Core idea (exam focus)</b><br>Cytoskeletal elements have distinct proteins, structures, and functions.<br><br><b>Mechanism / reasoning</b><br><ul><li>Match the structure/function in the stem to the correct cytoskeletal component.</li><li>Exclude options that belong to a different filament system (actin vs tubulin vs intermediate filaments).</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Microtubules=tubulin (13 protofilaments), microfilaments=actin, intermediate filaments=keratin/lamins.
What is the function of dystropin?	It links microfilaments to the plas- malemma	Kinesin	Myosin	Dynein	A. It links microfilaments to the plas- malemma	<b>Question</b><br>What is the function of dystropin?<br><br><b>Correct answer:</b> A — It links microfilaments to the plas- malemma<br><br><b>Core idea (exam focus)</b><br>Cytoskeletal elements have distinct proteins, structures, and functions.<br><br><b>Mechanism / reasoning</b><br><ul><li>Match the structure/function in the stem to the correct cytoskeletal component.</li><li>Exclude options that belong to a different filament system (actin vs tubulin vs intermediate filaments).</li></ul><br><b>Why the other options are not</b><br><ul><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>C:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Microtubules=tubulin (13 protofilaments), microfilaments=actin, intermediate filaments=keratin/lamins.
What syndrome is the genetic defect in Dynein linked to?	Dynein	Microtubules	Kartagener syn- drome	Kinesin	C. Kartagener syn- drome	<b>Question</b><br>What syndrome is the genetic defect in Dynein linked to?<br><br><b>Correct answer:</b> C — Kartagener syn- drome<br><br><b>Core idea (exam focus)</b><br>Cytoskeletal elements have distinct proteins, structures, and functions.<br><br><b>Mechanism / reasoning</b><br><ul><li>Match the structure/function in the stem to the correct cytoskeletal component.</li><li>Exclude options that belong to a different filament system (actin vs tubulin vs intermediate filaments).</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Microtubules=tubulin (13 protofilaments), microfilaments=actin, intermediate filaments=keratin/lamins.
What is the function of the layer at the bottom (usually pointed with an ar- row) of the plasmalemma?	Smooth muscle cells	Adipocytes	Ion transport	Nucleic acids	C. Ion transport	<b>Question</b><br>What is the function of the layer at the bottom (usually pointed with an ar- row) of the plasmalemma?<br><br><b>Correct answer:</b> C — Ion transport<br><br><b>Core idea (exam focus)</b><br>Use core definitions and exclusions in the stem to eliminate distractors.<br><br><b>Mechanism / reasoning</b><br><ul><li>Use the key word in the stem (NOT, EXCEPT) to decide the direction of selection.</li><li>Pick the option that best matches the definition given by the course terminology.</li></ul><br><b>Why the other options are not</b><br><ul><li><b>A:</b> This option does not match the defining feature tested in the stem.</li><li><b>B:</b> This option does not match the defining feature tested in the stem.</li><li><b>D:</b> This option does not match the defining feature tested in the stem.</li></ul><br><b>Exam gold (high-yield)</b><br>Read the stem direction: NOT / EXCEPT flips the selection.
